key,text,description
rule.EquippedItemGrantsTemporarySkill.name,Floating equipment grants skill,Rule
rule.EquippedItemGrantsTemporarySkill.description,An equipped floating item grants its skill temporarily while it remains afloat.,Rule description
rule.LearnedSkillBecomesUsable.name,Learned skill becomes usable,Rule
rule.LearnedSkillBecomesUsable.description,A skill owned by an actor becomes usable.,Rule description
rule.TemporarySkillBecomesUsable.name,Temporary skill becomes usable,Rule
rule.TemporarySkillBecomesUsable.description,A temporary equipment skill becomes usable while the granting relation exists.,Rule description
rule.UsableSwimmingSkillEnablesDeepWaterMovement.name,Swimming skill enables movement,Rule
rule.UsableSwimmingSkillEnablesDeepWaterMovement.description,An actor who can use swimming moves by swimming while deeply immersed in a water region.,Rule description
rule.UsableSwimmingSkillCancelsDrowning.name,Swimming skill cancels drowning,Rule
rule.UsableSwimmingSkillCancelsDrowning.description,A usable swimming skill removes a stale drowning movement state.,Rule description
rule.EquippedSlotItemAttaches.name,Attach equipped item,Rule
rule.EquippedSlotItemAttaches.description,The item reserved by an actor's equipment slot attaches to that actor.,Rule description
rule.AutoCarryNearbyCarryable.name,Carry nearby object,Rule
rule.AutoCarryNearbyCarryable.description,A selected carryable reserves an empty carry slot when an actor approaches it.,Rule description
rule.CarriedSlotItemAttaches.name,Attach carried item,Rule
rule.CarriedSlotItemAttaches.description,A carried item is presented at the actor anchor defined by its profile.,Rule description
rule.AutoMountNearbyMountable.name,Mount nearby object,Rule
rule.AutoMountNearbyMountable.description,A selected mountable reserves its profile-defined seat when an actor approaches it.,Rule description
rule.MountedActorUsesMount.name,Present mounted actor,Rule
rule.MountedActorUsesMount.description,The actor reserved by a mountable seat is presented at that mount point.,Rule description
rule.SupportedObjectRestsOnSupport.name,Object rests on support,Rule
rule.SupportedObjectRestsOnSupport.description,A physical support observation means the object is resting on the supporting ontology entity.,Rule description
labels.characterPartsTitle,Character Parts,Shared UI label
labels.debugTitle,Ontology Debug,Shared UI label
labels.actionButtonsTitle,Action Buttons,Shared UI label
labels.runSimulation,Run Simulation,Shared UI label
labels.attackTree,Attack Tree,Shared UI label
labels.resetWorld,Reset World,Shared UI label
labels.saveSnapshot,Save,Shared UI label
labels.loadSnapshot,Load,Shared UI label
labels.equip,Equip,Shared UI label
labels.unequip,Unequip,Shared UI label
labels.equippedState,ON,Shared UI label
labels.unequippedState,OFF,Shared UI label
labels.meshState,mesh,Shared UI label
labels.factState,fact,Shared UI label
labels.equippedCountFormat,Equipped parts: {0} / {1},Shared UI label
labels.equippedActionFormat,Equipped: {0},Shared UI label
labels.unequippedActionFormat,Unequipped: {0},Shared UI label
labels.equipFailedFormat,Equip failed: {0},Shared UI label
labels.unequipFailedFormat,Unequip failed: {0},Shared UI label
labels.partFailureDefinitionMissing,part definition is missing,Shared UI label
labels.partFailureRendererMissing,renderer is missing,Shared UI label
labels.partFailureWorldMissing,ontology world is not ready,Shared UI label
labels.partFailureAlreadyEquipped,already equipped,Shared UI label
labels.partFailureAlreadyUnequipped,already unequipped,Shared UI label
labels.missingReferences,Character part UI is missing references.,Shared UI label
labels.noPartAdapter,No character part adapter.,Shared UI label
labels.noBootstrap,No OntologyWorldBootstrap found.,Shared UI label
labels.noSaveController,No OntologySaveController found.,Shared UI label
labels.questActionPrefix,[Quest] ,Shared UI label
labels.allActionsFilter,All,Shared UI label
labels.questActionsFilter,Quest,Shared UI label
labels.partActionsFilter,Parts,Shared UI label
labels.worldActionsFilter,World,Shared UI label
labels.filterStatusFormat,Filter: {0} | Actions: {1},Shared UI label
labels.selectedPartFormat,"Selected: {0}\nSlot: {1}\nState: {2} | Fact: {3}",Shared UI label
labels.selectedPartPreviewFormat,"{0}\nCapabilities: {1}\nConflicts: {2}\nOn Equip: {3}",Shared UI label
labels.conflictWarningFormat,Will unequip: {0},Shared UI label
labels.capabilitySwampResistance,Swamp Resistance,Shared UI label
labels.capabilityColdProtection,Cold Protection,Shared UI label
labels.capabilitySwampResistanceEffect,prevents Slowed on swamp,Shared UI label
labels.capabilityColdProtectionEffect,grants Warm in cold,Shared UI label
labels.noCapabilities,none,Shared UI label
labels.noConflicts,none,Shared UI label
labels.noDiff,no change,Shared UI label
labels.partSearchPlaceholder,Search parts...,Shared UI label
labels.partStateAll,All,Shared UI label
labels.partStateEquipped,Equipped,Shared UI label
labels.partStateAvailable,Available,Shared UI label
labels.partSlotAll,All Slots,Shared UI label
labels.partStateFilterFormat,State: {0},Shared UI label
labels.partSlotFilterFormat,Slot: {0},Shared UI label
labels.graphSummaryFormat,Graph: {0} facts | {1} subjects | {2} predicates,Shared UI label
labels.questSummaryFormat,Quest actions: {0},Shared UI label
labels.toastSaved,Snapshot saved.,Shared UI label
labels.toastLoaded,Snapshot loaded.,Shared UI label
labels.toastReset,World reset.,Shared UI label
labels.toastRan,Simulation ran.,Shared UI label
labels.actorToastFactFormat,{0}: {1},Shared UI label
labels.actorToastRemovedFactFormat,Lost {0}: {1},Shared UI label
labels.actorToastStatus,Status,Shared UI label
labels.actorToastMovementState,Movement,Shared UI label
labels.actorToastExposure,Exposure,Shared UI label
labels.actorToastCapability,Capability,Shared UI label
labels.actorToastEquippedPart,Equipped,Shared UI label
labels.actorToastAnimationIntent,Intent,Shared UI label
labels.actorToastStandingOn,Tile,Shared UI label
labels.hudTitle,[ONTOLOGY RUNTIME HUD],Shared UI label
labels.hudWorldNotReady,World is not ready.,Shared UI label
labels.hudDivider,--------------------------------,Shared UI label
labels.hudCurrentTick,Current Tick,Shared UI label
labels.hudStandingOn,Standing On,Shared UI label
labels.hudCoreVitality,Core Vitality,Shared UI label
labels.hudStatusWet,Status Wet,Shared UI label
labels.hudStateSlowed,State Slowed,Shared UI label
labels.hudExposedCold,Exposed Cold,Shared UI label
labels.hudEquippedParts,Equipped Parts,Shared UI label
labels.hudPartCapabilities,Part Capabilities,Shared UI label
labels.hudAnimationIntent,Animation Intent,Shared UI label
labels.hudSelectedIntent,Selected Intent,Shared UI label
labels.hudSelectedAnimation,Selected Animation,Shared UI label
labels.hudSelectedClip,Selected Clip,Shared UI label
labels.trueText,TRUE,Shared UI label
labels.falseText,FALSE,Shared UI label
labels.noneText,None,Shared UI label
ui.button.selected,Selected,Physical behavior
ui.button.choose,Choose,Physical behavior
ui.button.details,Details,Physical behavior
ui.button.apply,Apply,Physical behavior
ui.button.close,Close,Physical behavior
ui.title.physical_details,Physical behavior details,Physical behavior
result.no_physical_profile,No physical behavior is registered.,Physical behavior
result.no_physical_behavior,No physical behavior is selected.,Physical behavior
result.expected_behavior,Expected result: {0},Physical behavior
physical_choice.HeavySinking,Sink when it enters the water,Physical behavior
physical_choice.LightBuoyant,Float lightly on the water,Physical behavior
physical_choice.HeavyBuoyant,Float strongly on the water,Physical behavior
physical_choice.StaticAnchored,Stay fixed in place,Physical behavior
physical_result.HeavySinking,This object falls under gravity and sinks when it enters water.,Physical behavior
physical_result.LightBuoyant,This object rises gently and floats near the water surface.,Physical behavior
physical_result.HeavyBuoyant,This heavy object rises with strong buoyancy and floats on the water.,Physical behavior
physical_result.StaticAnchored,This object stays fixed and is not moved by gravity or buoyancy.,Physical behavior
physical_detail.format,"Expected result
{0}

Automatically configured ontology
Concept: {1}
Physical profile: {2}
Rule block: {3}

Physical tuning
Mass: {4:0.##}
Buoyancy strength: {5:0.##}
Water damping: {6:0.##}
Submerged ratio: {7:0%}
Surface offset: {8:0.##}",Physical behavior
ui.rule_block.quick_action,Quick action,Rule blocks
ui.title.rule_block_details,Rule block details,Rule blocks
rule_preset.water_buoyancy,Apply buoyancy in water,Rule blocks
rule_preset.auto_equip,Equip when selected nearby,Rule blocks
rule_preset.temporary_skill,Grant equipment skill temporarily,Rule blocks
rule_preset.water_buoyancy.description,This object becomes buoyant while it occupies a water region.,Rule blocks
rule_preset.auto_equip.description,This object can be equipped after the player intentionally selects and approaches it.,Rule blocks
rule_preset.temporary_skill.description,An equipped item grants its authored skill only while its enabling rule block remains attached.,Rule blocks
rule_preset.temporary_skill_setup.title,Equipment skill setup,Rule blocks
rule_preset.temporary_skill_setup.body,Choose the skill this equipment grants and the rule block that keeps it active. The required triples are authored before the temporary-skill rule is added.,Rule blocks
rule_preset.temporary_skill_setup.apply,Set and apply,Rule blocks
rule_preset.temporary_skill_setup.choose,Choose a skill and rule condition,Rule blocks
rule_preset.temporary_skill_setup.no_choice,Choose the skill and rule condition to apply first.,Rule blocks
rule_preset.temporary_skill_setup.no_rule,Add the rule block that should keep this equipment skill active first.,Rule blocks
rule_preset.temporary_skill_setup.no_skill,No selectable skill is defined by the current ontology catalog.,Rule blocks
rule_preset.detail.format,"{0}\n\nApplied to this placed object only.\n\nRule block: {1}\nBinding: {2}\nPhysical behavior: {3}\nConcepts: {4}\nFacts:\n{5}\nRequired existing data: {6}\n\nTemplates provide defaults only. Editing here never changes the source template.",Rule blocks
